Grupo;Masculino;Feminino;Geral;Poder
Quantidade;304.115;242.877;546.992;Executivo
Remuneração média (R$);8.486,71;7.656,60;8.118,12;Executivo
Idade média (anos);47,8;46,6;47,27;Executivo
Quantidade;188.214;198.200;386.414;Executivo
Provento médio (R$);7.613,08;6.688,45;7.138,82;Executivo
Idade média (anos);73,4;70,43;71,87;Executivo
Quantidade;26.552;263.456;290.008;Executivo
Provento médio (R$);4.234,36;4.400,76;4.385,53;Executivo
Idade média (anos);53,17;68,44;67,04;Executivo
Quantidade;5.715;3.227;8.942;Legislativo
Remuneração média (R$);15.495,22;16.752,67;15.949,01;Legislativo
Idade média (anos);46,9;46,98;46,93;Legislativo
Quantidade;4.061;3.416;7.477;Legislativo
Provento médio (R$);24.772,92;25.530,70;25.119,13;Legislativo
Idade média (anos);70,38;68,04;69,31;Legislativo
Quantidade;412;2.528;2.940;Legislativo
Provento médio (R$);16.285,02;17.472,70;17.306,26;Legislativo
Idade média (anos);46,06;62,74;60,4;Legislativo
Quantidade;35.862;35.754;71.616;Judiciário
Remuneração média (R$);10.453,16;10.455,00;10.454,08;Judiciário
Idade média (anos);43,81;43,62;43,72;Judiciário
Quantidade;5.409;8.267;13.676;Judiciário
Provento médio (R$);16.750,92;16.041,72;16.322,22;Judiciário
Idade média (anos);69,65;66,84;67,95;Judiciário
Quantidade;1.073;3.426;4.499;Judiciário
Provento médio (R$);11.404,95;13.154,35;12.737,12;Judiciário
Idade média (anos);53,58;66,55;63,46;Judiciário
Quantidade;3.310;2.708;6.018;Ministério Público
Remuneração média (R$);9.719,36;9.649,53;9.687,93;Ministério Público
Idade média (anos);39,98;38,86;39,47;Ministério Público
Quantidade;619;864;1.483;Ministério Público
Provento médio (R$);14.103,34;8.147,14;10.633,24;Ministério Público
Idade média (anos);70,06;67,37;68,49;Ministério Público
Quantidade;492;476;968;Ministério Público
Provento médio (R$);9.070,52;10.342,96;9.696,23;Ministério Público
Idade média (anos);60,3;67,45;63,82;Ministério Público
