Quantidade 318.688 259.881;318.688;259.881;578.569;Executivo
Remuneração média (R$) 8.563,46 7.604,07;8.563,46;7.604,07;8.132,53;Executivo
Idade média (anos) 47,38 45,94;47,38;45,94;46,74;Executivo
Quantidade 188.446 201.750;188446;201750;390.196;Executivo
Provento médio (R$) 7.973,39 6.905,01;7973,39;6905,01;7.465,13;Executivo
Idade média (anos) 73,54 70,74;73,54;70,74;72,09;Executivo
Quantidade 26.675 262.104;26675;262104;288.779;Executivo
Provento médio (R$) 4.584,23 4.640,13;4584,23;4640,13;4.634,97;Executivo
Idade média (anos) 54,26 68,88;54,26;68,88;67,53;Executivo
Quantidade 5.467 2.979;5467;2979;8.446;Legislativo
Remuneração média (R$) 15.939,13 17.202,02;15939,13;17202,02;16.384,57;Legislativo
Idade média (anos) 46,93 47,03;46,93;47,03;46,97;Legislativo
Quantidade 4.222 3.608;4222;3608;7.830;Legislativo
Provento médio (R$) 24.384,90 25.259,04;24384,9;25259,04;24.844,81;Legislativo
Idade média (anos) 70,47 68,29;70,47;68,29;69,47;Legislativo
Quantidade 419 2.562;419;2562;2.981;Legislativo
Provento médio (R$) 18.434,03 20.577,61;18434,03;20577,61;20.276,32;Legislativo
Idade média (anos) 47,19 63,33;47,19;63,33;61,07;Legislativo
Quantidade 55.708 56.356;55708;56356;112.064;Judiciário
Remuneração média (R$) 11.499,44 11.506,44;11499,44;11506,44;11.502,96;Judiciário
Idade média (anos) 44,74 44,30;44,74;44,3;44,52;Judiciário
Quantidade 8.728 13.855;8728;13855;22.583;Judiciário
Provento médio (R$) 15.048,23 14.921,65;15048,23;14921,65;16.963,07;Judiciário
Idade média (anos) 67,77 65,08;67,77;65,08;66,12;Judiciário
Quantidade 1.506 6.306;1506;6306;7.812;Judiciário
Provento médio (R$) 13.088,75 13.976,67;13088,75;13976,67;13.805,50;Judiciário
Idade média (anos) 51,45 66,03;51,45;66,03;63,22;Judiciário
Quantidade 10.989 8.074;10989;8074;19.063;Ministério Público
Remuneração média (R$) 12.454,74 11.940,11;12454,74;11940,11;12.236,77;Ministério Público
Idade média (anos) 41,97 40,81;41,97;40,81;41,48;Ministério Público
Quantidade 823 1.152;823;1152;1.975;Ministério Público
Provento médio (R$) 14.859,06 9.641,55;14859,06;9641,55;12.002,90;Ministério Público
Idade média (anos) 69,85 66,35;69,85;66,35;67,81;Ministério Público
Quantidade 399 415;399;415;814;Ministério Público
Provento médio (R$) 13.054,60 14.773,19;13054,6;14773,19;13.930,78;Ministério Público
Idade média (anos) 58,69 67,15;58,69;67,15;63;Ministério Público
