Grupo;Descrição Masculino;;Feminino;Geral;Poder
;Quantidade 4.840;4.840;2.353;7.193;Legislativo
Servidores;Remuneração média (R$) 23.032,89;23.032,89;22.813,37;22.961,08;Legislativo
;Idade média (anos) 47,86;47,86;46,95;47,56;Legislativo
;Quantidade 4.148;4148;4.610;8.758;Legislativo
Aposentados;Provento médio (R$) 33.112,73;33112,73;32.925,36;33.014,11;Legislativo
;Idade média (anos) 70,27;70,27;67,92;69,03;Legislativo
;Quantidade 440;440;3.065;3.505;Legislativo
Pensionistas;Provento médio (R$) 22.701,80;22701,8;23.052,16;23.008,18;Legislativo
;Idade média (anos) 61,16;61,16;67,01;66,28;Legislativo
;Quantidade 48.770;48770;46.591;95.361;Judiciário
Servidores;Remuneração média (R$) 13.483,78;13483,78;13.680,03;13.579,66;Judiciário
;Idade média (anos) 54,68;54,68;51,95;53,35;Judiciário
;Quantidade 10.101;10101;17.692;27.793;Judiciário
Aposentados;Provento médio (R$) 20.134,03;20134,03;19.759,46;19.895,59;Judiciário
;Idade média (anos) 70,23;70,23;66,14;67,62;Judiciário
;Quantidade 1.290;1290;5.961;7.251;Judiciário
Pensionistas;Provento médio (R$) 15.921,58;15921,58;16.665,74;16.533,35;Judiciário
;Idade média (anos) 60,12;60,12;70,44;68,61;Judiciário
;Quantidade 10.434;10434;8.144;18.578;Ministério Público
Servidores;Remuneração média (R$) 14.095,94;14095,94;14.182,11;14.133,72;Ministério Público
;Idade média (anos) 44,49;44,49;43,26;43,95;Ministério Público
;Quantidade 1.011;1011;1.446;2.457;Ministério Público
Aposentados;Provento médio (R$) 21.894,77;21894,77;18.560,95;19.932,74;Ministério Público
;Idade média (anos) 70,06;70,06;67,08;68,31;Ministério Público
;Quantidade 154;154;766;920;Ministério Público
Pensionistas;Provento médio (R$) 14.439,47;14439,47;17.142,42;16.689,97;Ministério Público
;Idade média (anos) 62,44;62,44;68,87;67,79;Ministério Público
